Occurence Nature condition,,Report,Occurence Nature condition,prediction
OTHER                     ,6923,"['aircraft', 'base', 'maintenance', 'corrosion', 'right', 'wing', 'spoiler', '2', 'hinge', 'inboard', 'board', 'pins', 'replaced', 'hinge', 'pins', 'per', 'amm', '276442400001a']",OTHER                     ,NO TEST                   
OTHER                     ,98513,"['one', 'aft', 'emergency', 'flashlight', 'red', 'light', 'blinking', 'r', 'r', 'flashlight', 'battery', 'iaw', 'amm', '256400', 'ops', 'checked', 'good']",OTHER                     ,NO TEST                   
OTHER                     ,9735,"['l1', 'slide', 'light', 'inop', 'grounded', 'yes', 'relampedops', 'check', 'good', 'iaw', 'b737800', 'amm', '335104']",OTHER                     ,NO WARNING INDICATION     
OTHER                     ,95454,"['follow', 'reports', '1', 'engine', 'hung', 'start', 'check', '2', 'engine', '5th', 'stage', 'check', 'valve', 'grounded', 'yes', 'replaced', '5th', 'stage', 'ck', 'valve', 'per', 'b737800', 'amm', '361102401', 'new', 'clamps', 'es']",OTHER                     ,WARNING INDICATION        
OTHER                     ,70261,"['main', 'door', 'main', 'door', 'seal', 'leaking', 'high', 'pitch', 'noise', 'coming', 'door', 'removed', 'main', 'cabin', 'door', 'rubber', 'seal', 'pn', '50538948901', 'nsn', 'installed', 'new', 'main', 'door', 'rubber', 'seal', 'pn', '50538948901', 'nsn', 'iaw', 'embraer', 'phenom', 'amm', 'chapter', '521020', 'operational', 'functional', 'check', 'good', 'orig', 'sub', 'date', '12192022']",OTHER                     ,FLUID LOSS                
SMOKE/FUMES/ODORS/SPARKS  ,56209,"['aircraft', 'grounded', 'dirty', 'sock', 'smell', 'mid', 'aft', 'cabin', 'reported', 'flight', 'attendants', 'original', 'report', 'aala202205179867', 'maintenance', 'found', 'apu', 'oil', 'lube', 'pump', 'aft', 'line', 'leaking', 'replaced', 'per', 'amm', '499145', 'maintenance', 'also', 'found', 'apu', 'fuel', 'flow', 'divider', 'drain', 'valve', 'assembly', 'leaking', 'apu', 'drain', 'mast', 'replaced', 'per', 'amm', '493212', 'aala202205179949', 'satisfactory', 'leak', 'operational', 'check', 'accomplished', 'odors', 'not']",SMOKE/FUMES/ODORS/SPARKS  ,FLUID LOSS                
OTHER                     ,5887,"['aircraft', 'grounded', 'found', 'emergency', 'power', 'supply', 'unit', '14wl', 'fault', 'cabin', 'intercommunication', 'data', 'system', 'test', 'removed', 'replaced', 'emergency', 'power', 'supply', 'unit', '14wl', 'battery', 'per', 'amm', '335138']",OTHER                     ,NO TEST                   
WARNING INDICATION        ,19202,"['cruise', 'flight', 'level', '40000', 'icas', 'cabin', 'pressurization', 'fault', 'displayed', 'went', 'manual', 'per', 'check', 'list', 'cabin', 'altitude', 'uncontrollablesignoffremoved', 'replaced', 'right', 'engine', 'airframe', 'io', 'unit', 'gea7100', '3', 'iaw', 'ce680a', 'amm', '313000', '314015', '421001', 'ops', 'check', 'good']",WARNING INDICATION        ,FLT CONT AFFECTED         
OTHER                     ,1906,"['aircraft', 'base', 'maintenance', 'baffle', 'clip', 'cracked', 'sta', '500h', 'str', '25r', 'installed', 'new', 'baffle', 'clip', 'per', 'aard', '5100051', 'boeing', 'drawing', '143a7505', 'aa', 'drawing', 'cbf1699']",OTHER                     ,NO TEST                   
OTHER                     ,75675,"['l1', 'door', 'working', 'intermittently', 'internal', 'external', 'control', 'panels', 'deferred', 'l1', 'door', 'per', 'mel', '521031212', 'placard', 'installed', 'linked', 'eo', 'md11252085062']",OTHER                     ,AFFECT SYSTEMS            
OTHER                     ,5687,"['aircraft', 'grounded', 'seat', '21c', 'emergency', 'path', 'light', 'damaged', 'open']",OTHER                     ,NO TEST                   
OTHER                     ,62619,"['aft', 'overhad', 'exit', 'sign', 'lens', 'missing', 'grounded', 'yes', 'found', 'missing', 'lens', 'installed', 'aft', 'overhead', 'exit', 'ballast']",OTHER                     ,INADEQUATE Q C            
WARNING INDICATION        ,53559,"['aircraft', 'grounded', 'climb', 'engine', 'driven', 'generator', '1', 'fault', 'ecam', 'would', 'reset', 'per', 'qrh', 'procedure', 'flight', 'declared', 'emergency', 'returned', 'mia', 'landing', 'safely', 'supplemental', 'report', 'aala202201274700', 'replaced', '1', 'idg', 'per', 'amm', '242551', 'clos']",WARNING INDICATION        ,VIBRATION/BUFFET          
WARNING INDICATION        ,63519,"['apu', 'fault', 'light', 'grounded', 'yes', 'removed', 'replaced', 'starter', 'converter', 'unit', 'ref', 'b7379', 'amm', '494161', 'ops', 'chk', 'bite', 'test', 'good']",WARNING INDICATION        ,NO TEST                   
OTHER                     ,58063,"['aircraft', 'grounded', 'emergency', 'exit', 'light', 'overwing', 'emergency', 'exit', '16f', 'inoperative', 'supplemental', 'report', 'aala202208025523', 'replaced', 'emergency', 'light', 'per', 'amm', '332101', 'operational', 'check', 'good', 'clos']",OTHER                     ,FLT CONT AFFECTED         
OTHER                     ,36270,"['aft', 'galley', 'right', 'side', 'emergency', 'exit', 'sign', 'inop', 'removed', 'replaced', 'fuse', 'm1672', 'battery', 'pack', 'performed', 'aft', 'galley', 'right', 'side', 'emergency', 'exit', 'sign', 'testchecked', 'normalper', 'b737', 'amm', '335106', 'verified', 'rr', 'fuse', 'ops', 'test']",OTHER                     ,NO TEST                   
WARNING INDICATION        ,4209,"['aircraft', 'grounded', 'apu', 'bleed', 'leak', 'engine', '1', '2', 'emergency', 'declared', 'aircraft', 'diverted', 'las', 'landed', 'safely', 'without', 'incident', 'replaced', '2', 'engine', 'bleed', 'pressure', 'regulator', 'valve', 'accomplished', 'satisfactory', 'leak', 'operational', 'check', 'per', 'amm', '361251']",WARNING INDICATION        ,PARTIAL RPM/PWR LOSS      
OTHER                     ,3393,"['aircraft', 'base', 'maintenance', 'first', 'officers', 'window', 'open', 'adjusted', 'window', 'per', 'amm', '561102']",OTHER                     ,OVER TEMP                 
OTHER                     ,72504,"['puncture', 'multiple', 'missing', 'corroded', 'damaged', 'inserts', 'floor', 'board', 'panel', '263bf', 'fabricated', 'new', 'main', 'deck', 'floor', 'board', 'panel', '263bf', 'per', 'fedex', 'drwg', 'srz25005', 'aeao177', 'major', 'repair']",OTHER                     ,INADEQUATE Q C            
OTHER                     ,32263,"['battery', 'packs', 'failed', 'capacity', 'test', 'following', 'positions', 'front', 'left', 'row', '16', 'left', 'left', 'overwing', 'right', 'overwing', 'aft', 'left', 'aft', 'right', 'removed', 'replaced', 'per', 'amm335106']",OTHER                     ,NO TEST                   
OTHER                     ,89935,"['emergency', 'aisle', 'light', 'inop', 'left', 'side', 'row', '9', 'removed', 'replaced', 'battery', 'pack', 'fuse', 'battery', 'pack', 'm1670', 'iaw', 'amm', '335106960804brperfrom', 'fuse', 'test', 'test', 'pass']",OTHER                     ,NO TEST                   
F.O.D.                    ,14660,"['due', 'bird', 'strike', 'left', 'wing', 'nr', '1', 'engine', 'rotation', 'damage', 'engine', 'fan', 'blades', 'only', 'damage', 'wing', 'corrective', 'action', '3', 'fan', 'blades', 'damaged', 'replaced', '3', 'sets', 'fan', 'blades', 'completed', 'high', 'power', 'runs', 'vibration', 'within', 'limits', 'odorfumes', 'not']",F.O.D.                    ,VIBRATION/BUFFET          
OTHER                     ,97355,"['pdis', '664', '2130', '5359', '24feb23', 'abq', 'open', 'u', '2', 'hours', 'using', 'press', 'reg', '1', 'press', 'reg', 'one', 'faulted', 'turned', 'syst', '1', 'per', 'ecam', 'system', 'switched', 'reg', '2', 'press', 'reg', '2', 'faulted', 'shortly', 'after', 'deselected', '2', 'per', 'ecam', 'ecam', 'press', 'page', 'showed', 'forward', 'outflow', 'valve', 'fully', 'open', 'cab', 'altitude', 'rapidly', 'climbed', 'max', 'overhead', 'cab', 'alt', 'gauge', 'unable', 'control', 'cab', 'alt', 'manual', 'pressurization', 'cab', 'alt', 'complied', 'ecam', 'qrh', 'diverted', 'abq', 'per', 'goc', 'emergency', 'declar']",OTHER                     ,WARNING INDICATION        
OTHER                     ,67125,"['pda', '3', 'walkaround', 'found', '3', 'missing', 'rivets', '3', 'loose', 'rivets', '2', 'engine', 'pylon', 'aft', 'area', 'engine', 'exhaust', 'photos', 'added', 'removed', 'replace', 'loose', 'rivets', 'aft', 'engine', 'pylon', 'per', 'srm', '515002']",OTHER                     ,INFLIGHT SEPARATION       
OTHER                     ,23682,"['emergency', 'exit', 'sign', 'fa', 'seat', 'inop', 'removed', 'replaced', '100', 'emergency', 'light', 'dcac', 'inverter', 'ref', 'amm', 'task', '335011000400801a', 'ops', 'check', 'good']",OTHER                     ,NO TEST                   
OTHER                     ,85105,"['several', 'emergency', 'lights', 'associated', 'batt', 'pack', 'm1670', 'inop', '01', 'removed', 'emergency', 'light', 'battery', 'pack', 'm1670', 'installed', 'serviceable', 'pack', 'performed', 'installation', 'test', 'per', 'amm', '335106960805', 'lights', 'associated', 'm1670', 'still', 'inop02', 'verified', 'corrective', 'action', '103', 'ok', 'close', 'air', 'retun', 'grille', 'common', 'battery', 'pack', 'm167004', 'verified', 'ok', 'close', 'air', 'retun', 'grille', 'common', 'battery', 'pack', 'm167005', 'installed', 'air', 'return', 'grille', 'per', 'amm', '335106960805', 'step', '4f5brperformed', 'battery', 'pack', 'deep', 'cycle', 'per', 'amm', '335106600802brperformed', 'good', 'test', 'battery', 'pack', 'm1670', 'associated', 'lights', 'per', 'amm', '335106960805', 'step', '4e606', 'verified', 'corrective', 'action', '5', 'op', 'checks', 'good', 'per', 'amm', '33510']",OTHER                     ,NO TEST                   
OTHER                     ,92506,"['cabin', 'emergency', 'lighting', 'test', 'failed', 'door', '4', 'right', 'removed', 'replaced', 'emergency', 'power', 'supply', 'unit', 'epsu', 'door', '4', 'right', 'accordance', 'aircraft', 'maintenance', 'manual', '335138']",OTHER                     ,NO TEST                   
OTHER                     ,89388,"['fwd', 'entry', 'door', 'gent', 'bar', 'stay', 'seated', '01', 'removed', 'decree', 'girt', 'bar', 'latch', 'per', 'sip', 'ops', 'check', 'good']",OTHER                     ,F.O.D.                    
OTHER                     ,94926,"['aircraft', 'base', 'maintenance', 'flight', 'deck', 'left', 'hand', 'sliding', 'window', 'scratched', 'maintenance', 'replaced', 'sliding', 'window', 'per', 'amm', '561211']",OTHER                     ,OVER TEMP                 
OTHER                     ,40888,"['supplemental', 'information', 'mv2', 'found', 'emergency', 'light', 'fwd', 'service', 'door', 'inop', '01', 'removed', 'replaced', 'fwd', 'lh', 'emergency', 'light', 'battery', 'pack', 'fwd', 'galley', 'ref', 'amm', '335106', 'ops', 'chk', 'good']",OTHER                     ,NO TEST                   
OTHER                     ,68620,"['dirty', 'sock', 'smell', 'takeoff', 'descent', 'lasted', '5', 'min', 'takeoff', '1', 'eng', 'determined', 'cause', 'odor', 'performed', 'boro', 'found', 'large', 'surface', 'areas', 'oil', 'wetting', '1st', 'stage', 'hpc', 'accomplished', 'bsi', 'ipc', 'iaw', 'amm', '720000290840a', 'hpc', 'iaw', 'amm', '720000', '290841a', 'confirmed', 'previous', 'findings', 'additional', 'findings', 'performed', 'test', '54', '1', 'eng', 'iaw', 'amm', '7100', 'performed', '3rd', 'bsi', 'iaw', 'amm', '7200', 'oil', 'wetting', 'noted', 'primarily', 'lpc', 'stg', '1', 'wetting', 'noted', 'stg', '1', 'hpc', 'stg', '1', 'installed', 'mid', 'fairing', 'gas', 'generator', 'fairing', 'nr1', 'engine', 'changed', 'ecs', 'decon', 'accomplish']",OTHER                     ,SMOKE/FUMES/ODORS/SPARKS  
FLUID LOSS                ,19477,"['1', 'hydraulic', 'reservoir', 'takeoff', 'roll', 'hyd', '1', 'lo', 'qty', 'cas', 'came', 'followed', 'hyd', '1', 'lo', 'press', 'takeoff', 'aborted', 'investigation', 'found', 'hyd', '1', 'res', 'level', 'showed', '0', 'also', 'hyd', 'fluid', 'visible', 'left', 'engine', 'removed', 'replaced', '1', 'hydraulic', 'system', 'pressure', 'hose', 'assy', 'pn', 'gd47811261', 'new', 'hose', 'assy', 'pn', 'gd47811261', 'removed', 'replaced', '1', 'hydraulic', 'system', 'return', 'hose', 'assy', 'pn', 'ar104816', 'new', 'hose', 'assy', 'pn', 'ar104816', 'removed', 'replaced', '1', 'hydraulic', 'system', 'case', 'drain', 'filter', 'pn', 'ac014f8', 'customer', 'supplied', 'new', 'filter', 'pn', 'acc314f8', 'removed', 'replaced', '1', 'hydraulic', 'system', 'pressure', 'filter', 'pn', 'acc314f12', 'customer', 'supplied', 'new', 'filter', 'pn', 'acc314f12', 'serviced', 'bled', 'hydraulics', 'ops', 'l']",FLUID LOSS                ,SMOKE/FUMES/ODORS/SPARKS  
OTHER                     ,99347,"['aisle', 'emergency', 'lights', 'stations', '727j', '875', 'also', 'right', 'aft', 'exit', 'overdoor', 'aft', 'escape', 'slide', 'inop01', 'replaced', 'power', 'supply', 'm1672', 'battery', 'pack', 'accordance', 'aircraft', 'maintenance', 'manual', '335106', 'ops', 'checked', 'good']",OTHER                     ,NO TEST                   
OTHER                     ,67064,"['crack', 'indication', 'found', 'rh', 'fr16', 'upper', 'hole', '6', 'double', 'joggle', 'fastener', 'hole', 'evaluate', 'repair', 'necessary', 'iaw', 'applicable', 'repair', 'manuals', 'noted', 'ltpr', 'nr', '50011695420010', 'revision', 'ecra', '531102860', '31176', 'ttl', 'flt', 'cycs', 'repeat', 'inspect', '5200', 'flt', 'cycle', 'intervals', 'initiate', 'dip', 'rotoprobe', 'inspect', 'fastener', 'removal', 'fr16', 'rh', 'door', 'stop', '7', 'holes', '5', '6', 'per', 'part2', 'step', '1', 'latest', 'reamed', 'hole', 'crack', 'free', 'cold', 'worked', 'installed', '2nd', 'size', 'fastener', 'iaw', 'ecra', '531102860', 'minor', 'cat', 'b', 'rpr', 'lht', 'tech', '5h0884', 'insp', '5t1218', 'dip', '53dip', 'item', 'rejected', 'info', 'update', 'log', 'page', 'incorrect', 'defect', 'information', 'see', 'log', 'page', '9457041', 'correct', 'verbag']",OTHER                     ,INADEQUATE Q C            
OTHER                     ,17565,"['ship', '683', 'seat', '45d', 'floor', 'emerg', 'light', 'inop', 'corrective', 'action', 'secured', 'harness', 'connector', 'wunderneath', 'ctr', 'seat', 'ops', 'checks', 'good', '7810162']",OTHER                     ,NO TEST                   
OTHER                     ,38684,"['row', '14', 'abc', '17', 'abc', 'emergency', 'lights', 'inop', '01', 'see', 'item', 'ttg8q0069mxxm1670', 'battery', 'replacement', 'ops', 'check', 'row', '14abc', '17abc', 'emergency', 'lights', 'ok', 'ref', 'amm', '335100']",OTHER                     ,NO TEST                   
WARNING INDICATION        ,19358,"['flap', 'flap', 'motor', 'circuit', 'breaker', 'found', 'popped', 'inflight', 'sure', 'occured', 'cas', 'indication', 'accompanied', 'tripped', 'cb', 'removed', 'flap', 'pdu', 'assy', 'need', 'ok', 'install', 'flap', 'pdu', 'installed', 'flap', 'pdu', 'assy', 'iaw', 'cl650', 'amm', '275201', 'insprigging', 'operational', 'test', 'required', 'operational', 'test', 'flap', 'pdu', 'iaw', 'cl650amm', '275404', '275201', 'riging', 'operational', 'test', 'good']",WARNING INDICATION        ,FALSE WARNING             
OTHER                     ,89039,"['emergency', 'battery', 'pack', 'defective', 'position', 'm1674', 'remove', 'replace', 'emergency', 'battery', 'pack', 'pn', 'd71701100swa', 'perform', 'operational', 'test', '01', 'replaced', 'emergency', 'battery', 'pack', 'm1674', 'serviceable', 'battery', 'pack', 'sn', 'wn', '1177', 'performed', 'ops', 'test', 'test', 'passed', 'per', 'b737', 'amm', '33510696080602', 'verified', 'step', '1']",OTHER                     ,NO TEST                   
NO TEST                   ,14429,"['test', 'psu', 'oxy', 'panel', '14abc', 'open', 'corrective', 'action', 'repacked', 'psu', 'ok', 'servic']",NO TEST                   ,OTHER                     
OTHER                     ,4950,"['aircraft', 'grounded', 'right', 'overwing', 'exit', 'armed', 'reset', 'overwing', 'emergency', 'exit', 'slide', 'latch', 'pin', 'right', 'overwing', 'exit', 'door', 'per', 'amm', '522100']",OTHER                     ,NO WARNING INDICATION     
FALSE WARNING             ,17864,"['ship', '3320', 'ato', 'due', 'hot', 'brake', 'ecam', 'warning', 'number', 'seven', 'brake', 'reading', '300', 'degrees', 'corrective', 'action', 'number', '7', 'brake', 'temperature', 'sensor', 'number', '3', 'brake', 'replaced', 'due', 'trending', 'cold', '7950722']",FALSE WARNING             ,OTHER                     
FLT CONT AFFECTED         ,59980,"['aircraft', 'grounded', 'approximatley', '800', 'takeoff', 'aircraft', 'uninitiated', 'roll', 'uncommanded', 'left', 'first', 'officer', 'right', 'side', 'stick', 'commanded', 'full', 'right', 'side', 'stick', 'point', 'however', 'aircraft', 'immediately', 'respond', 'side', 'stick', 'input', 'aircraft', 'began', 'roll', 'right', 'moment', 'stick', 'brought', 'back', 'left', 'slightly', 'aircraft', 'rolled', 'left', 'full', 'right', 'stick', 'applied', 'slow', 'roll', 'back', 'right', 'wings', 'leveled', 'side', 'stick', 'neutralized', 'normal', 'control', 'regained', 'ecam', 'faults', 'warnings', 'indications', 'emergency', 'declared', 'aircraft', 'returned', 'lax', 'landed', 'safely', 'without', 'inci']",FLT CONT AFFECTED         ,NO WARNING INDICATION     
OTHER                     ,20037,"['mdis', '974', '3350', '7299', '18feb21', 'muc', 'open', 'u', 'see', 'also', '3350', 'wri', '7298', 'emrgency', 'lights', 'cabin', 'mid', 'right', 'right', 'exterior', 'illuminate', 'positions', 'troubleshooting', 'performed', 'found', 'illumination', 'rh', 'side', 'acc', 'amm', '3351072', 'battery', 'pos', 'm730', 'removed', 'replaced', 'function', 'check', 'performed', 'found', 'ok', 'part', 'detail', 'acc', 'gmm', '127600', 'batteryholder', 'assybatteri']",OTHER                     ,NO TEST                   
OTHER                     ,59019,"['aircraft', 'base', 'maintenance', 'flight', 'deck', 'center', 'windshield', 'framing', 'left', 'hand', 'continuity', 'fitting', 'cracked', 'fr', '1', 'fr', '2', 'y0', 'replaced', 'continuity', 'fitting', 'per', 'eo', '5319y017002']",OTHER                     ,NO TEST                   
WARNING INDICATION        ,59303,"['aircraft', 'grounded', 'climb', 'fl200', 'sustained', 'engine', '2', 'vibrations', 'greater', '40', 'max', 'approximately', '43', 'descent', 'power', 'idle', 'noticeable', 'airframe', 'vibrations', 'engine', 'indication', 'normal', 'flight', 'returned', 'mia', 'landing', 'safely', 'replaced', 'engine', '2', 'center', 'frame', 'accelerometer', 'aala202210039221', 'per', 'amm', '773106', 'accomplished', 'satisfactory', 'oil', 'debris', 'monitoring', 'system', 'inspection', 'per', 'amm', '790000210804g00', 'accomplished', 'satisfactory', 'scavenge', 'screen', 'plug', 'inspection', 'per', 'amm', '792104211801g00', 'replaced', 'engine', '2', 'electronic', 'engine', 'control', 'eec', 'electrical', 'harness', 'aala202210038317', 'per', 'amm', '732201401', 'accomplished', 'satisfactory', 'eec', 'electrical', 'harness', 'installation', 'test', 'per', 'amm', '710000800804']",WARNING INDICATION        ,FALSE WARNING             
OTHER                     ,15058,"['ship', '6817', 'first', 'officer', 'left', 'floor', 'heater', 'failed', 'passenger', 'boarding', 'fo', 'saw', 'sparks', 'left', 'yoke', 'floor', 'followed', 'smoke', 'corrective', 'action', 'maintenance', 'replaced', 'left', 'floor', 'heater', 'first', 'officer', 'side', 'aircraft', 'returned', 'service', 'lp', '7576132']",OTHER                     ,NO TEST                   
OTHER                     ,58911,"['aircraft', 'grounded', 'operation', 'ramp', 'personnel', 'reported', 'l4', 'door', 'slide', 'girt', 'bar', 'hanging', 'outside', 'door', 'slide', 'found', 'unraveled', 'deployed', 'maintenance', 'replaced', 'slide', 'assembly', 'per', 'task', 'card', '26l00025011']",OTHER                     ,F.O.D.                    
OTHER                     ,31947,"['emergency', 'light', 'right', 'wing', 'inopcasee', 'aml', 'log', 'page47347183', 'deferred', 'emergency', 'light', 'per', 'mel', '3322', 'rard', 'lamp', 'assy', 'iaw', '335010', 'fix', 'ts', 'light', 'assy', 'parts', 'order', 'aog']",OTHER                     ,NO WARNING INDICATION     
OTHER                     ,91034,"['several', 'emergency', 'lights', 'inop', 'rh', 'side', 'aircraft', 'removed', 'replaced', 'battery', 'pack', 'iaw', 'amm', '335106', 'ops', 'checked', 'good']",OTHER                     ,NO TEST                   
WARNING INDICATION        ,55829,"['aircraft', 'grounded', 'flight', 'attendant', 'panel', 'shows', 'amber', 'check', 'door', 'pressure', '4l', 'door', 'serviced', '4l', 'door', 'damper', 'per', 'amm', '521000']",WARNING INDICATION        ,OTHER                     
OTHER                     ,89827,"['cockpit', 'dome', 'exterior', 'fwd', 'entry', 'door', 'emergency', 'light', 'inop', '01', 'rr', 'emergency', 'battery', 'pack', 'charger', 'assy', 'm1675', 'ops', 'check', 'good', 'ref', 'amm', '335106']",OTHER                     ,NO TEST                   
OTHER                     ,45864,"['lh', 'floor', 'sill', 'multiple', 'spots', 'corrosion', 'fs98500', 'fs100000', 'ccheck', 'ro', '83121', 'removed', 'replaced', 'sill', 'iaw', 'reo', '67053611900', 'rev', 'dated', '20210520', 'refer', 'continue', 'card', 'details', 'work', 'perform']",OTHER                     ,INADEQUATE Q C            
WARNING INDICATION        ,58966,"['aircraft', 'grounded', 'aircraft', 'declared', 'emergency', 'diverted', 'dfw', 'due', 'fuel', 'act', 'transfer', 'fault', 'auto', 'fault', 'light', 'illuminated', 'help', 'act', 'switch', 'forward', '5180', 'lbs', 'act', '1', 'trapped', 'manual', 'transfer', 'functionality', 'aircraft', 'landed', 'safely', 'dfw', 'without', 'incident', 'maintenance', 'accomplished', 'fuel', 'transfer', 'center', 'tanks', 'wings', 'satisfactory', 'operational', 'test', 'act', 'manualauto', 'transfer', 'system', 'accomplished', 'per', 'amm', '282800', 'faults', 'not']",WARNING INDICATION        ,NO WARNING INDICATION     
OTHER                     ,6669,"['aircraft', 'base', 'maintenance', 'corrosion', 'transition', 'panel', 'sta', '814847', 'str', '25r', 'measuring', 'l05', 'in', 'w05', 'in', 'd0034', 'in', 'accomplished', 'permanent', 'nonreinforcing', 'repair', 'iaw', 'aard', '510005']",OTHER                     ,NO TEST                   
OTHER                     ,15343,"['ship', '198', 'l1', 'slide', 'arm', 'light', 'housing', 'broken', 'maintenance', 'resecured', 'armed', 'light', 'housing', 'system', 'operation', 'normal', 'lp', '6300098']",OTHER                     ,NO WARNING INDICATION     
WARNING INDICATION        ,93196,"['flt', '7', 'jfklhr', 'prior', 'departure', 'engine', '2', 'fire', 'loop', 'fault', 'engine', 'fire', 'detection', 'systems', '1', 'loop', 'ref', 'tsm', '261200810805', 'inspected', 'fdu', '2', 'loop', 'connector', 'well', 'pylon', 'fan', 'core', 'loop', 'connector', 'finding', 'fault', 'clear', 'placed', 'mel', '261201a', 'cat', 'c', 'mx4', 'updated', 'mcc', 'mario', 'notified', 'plaacrd', 'installed', 'foundrail', 'eng', '2', 'agb', 'loopa', 'fault', 'r', 'r', 'iaw', 'amm', '261217', 'msg', 'cleared', 'ops', 'test', 'good', 'mddr', 'cleared', 'placard', 'removed', 'updated', 'mx', '4', 'upd']",WARNING INDICATION        ,FALSE WARNING             
WARNING INDICATION        ,56073,"['aircraft', 'grounded', 'engine', '2', 'fuel', 'filter', 'clog', 'light', 'flight', 'replaced', 'fuel', 'filter', 'accomplished', 'satisfactory', 'leak', 'operational', 'check']",WARNING INDICATION        ,FLUID LOSS                
OTHER                     ,78726,"['heavy', 'check', 'cracked', 'shear', 'clip', 'fr', '9', 'copilots', 'dv', 'window', 'cutout', 'removed', 'replaced', 'shear', 'clip', 'fr', '9', 'copilots', 'dv', 'window', 'ref', 'emb', 'srm', '514008']",OTHER                     ,OVER TEMP                 
OTHER                     ,59622,"['aircraft', 'grounded', 'emergency', 'power', 'supply', 'unit', '11wl', 'battery', 'failed', 'cids', 'operational', 'test', 'replaced', 'battery', 'accomplished', 'satisfactory', 'operational', 'check', 'per', 'amm', '335138']",OTHER                     ,NO TEST                   
WARNING INDICATION        ,31532,"['landing', 'gear', 'lever', 'disagree', 'departure', 'qrh', 'procedure', 'complied', 'followed', 'alternate', 'landing', 'gear', 'extension', 'qrh', 'procedure', 'declared', 'emergency', 'transferred', 'nrwc', '302dfw00099caca', 'pend']",WARNING INDICATION        ,OVER TEMP                 
FALSE WARNING             ,99758,"['eicas', 'cargo', 'aft', 'fire', 'takeoff', 'extinguished', 'finishing', 'checklist', 'lwr', 'eicas', 'shown', 'intermittent', 'status', 'msg', 'cargo', 'aft', '1', 'loop', 'a', 'fail', 'fault', 'msg', 'report', 'shown', '26354', 'refer', 'supplement', 'fim', '2616', 'task', '892', 'smoke', 'detector', 'm9121', 'replaced', 'maintenance', 'tested', 'normal', 'iaw', 'supplement', 'amm', '261601', 'log', '1570449', 'item', '8', 'refer', 'supplement', 'fim', '2616', 'task', '892', 'smoke', 'detector', 'm9125', 'also', 'replaced', 'precaution', 'maintenance', 'test', 'result', 'normal', 'iaw', 'supplement', 'amm', '261601']",FALSE WARNING             ,FLAME/FIRE                
INADEQUATE Q C            ,15274,"['ship', '3235', 'improperly', 'packed', 'slide', 'raft', 'passenger', 'crew', 'door', '841', 'corrective', 'action', 'r', 'r', 'slide', 'raft', 'per', 'delta', 'workcard', 'amds', 'card', '25614002rf', '1744146']",INADEQUATE Q C            ,OTHER                     
WARNING INDICATION        ,61923,"['loss', 'cabin', 'pressurization', 'control', 'fl', '360', 'mx', 'page', 'showed', 'auto', '1auto2', 'inop', 'hi', 'flow', 'eicas', 'showed', 'cabin', 'alt', 'master', 'warning', 'cabin', 'auto', 'inop', 'master', 'caution', 'crew', 'elected', 'air', 'turnback', 'den', 'maintenance', 'grounded', 'aircraft', 'mainyenance', 'ts', 'per', '767fim', '2131', 'task', '801802', 'found', 'rh', 'flow', 'controlshutoff', 'valve', 'v17', 'faulty', 'replaced', 'flow', 'control', 'shutoff', 'valve', 'rhv17', 'per', 'amm', '215101', 'ops', 'checked', 'manual', 'mode', 'control', 'test', 'per', 'amm', '213100', 'ops', 'check', 'good', 'aircraft', 'returned', 'servic']",WARNING INDICATION        ,OTHER                     
OTHER                     ,83913,"['1', 'flashlight', 'inop', 'aft', 'galley', '01', 'rr', 'flashlight', 'battery', 'aft', 'galley', 'per', 'amm', '256400brops', 'check', 'ok']",OTHER                     ,NO TEST                   
OTHER                     ,12864,"['comply', 'avo', '9046', 'damage', 'lower', 'vhf', 'antenna', 'steps', '123', 'step', '6', 'previously', 'accomplished', 'ref', 'lp', '6594015', 'lp', '6598025', 'holes', 'removed', 'mount', 'fitting', 'fastener', 'holes', 'removed', 'fastener', 'inches', 'defects', 'found', 'covers', 'avo', '9046', 'steps', '5', '8', '12', '13', 'ref', 'ndtm', '510000', 'procedures', '16', '23', 'accomplished', 'hfec', 'inspection', 'adjacent', 'support', 'beam', 'fastener', 'holes', 'fuselage', 'skin', 'area', 'around', 'skin', 'deflection', 'within', '10', 'remover', '6', 'fasteners', 'fwd', 'antenna', 'mount', 'per', 'step', '9', 'ref', 'lp', '6594015', 'accomplished', 'rework', 'fuselage', 'skin', 'iaw', 'srm517001', 'per', 'avo', 'performed', 'detailed', 'visual', 'inspection', 'per', 'steps', '4710and', '11', 'avo9046', 'damage', 'noted', 'ndt', 'part', '6', '510000', 'procedure', '16', '23', 'cracks', 'det']",OTHER                     ,INFLIGHT SEPARATION       
OTHER                     ,3715,"['aircraft', 'grounded', 'emergency', 'exterior', 'light', 'inoperative', 'aft', 'lower', 'lh', 'fuselage', 'relamped', 'light', 'iaw', 'amm', '335104', 'ops', 'check', 'good']",OTHER                     ,NO TEST                   
